day,month,year,quarter,day_of_week
7,11,2015,4,7
8,11,2015,4,1
21,11,2015,4,7
22,11,2015,4,1
28,11,2015,4,7
29,11,2015,4,1
5,12,2015,4,7
6,12,2015,4,1
12,12,2015,4,7
13,12,2015,4,1
20,12,2015,4,1
9,1,2016,1,7
10,1,2016,1,1
16,1,2016,1,7
17,1,2016,1,1
23,1,2016,1,7
24,1,2016,1,1
30,1,2016,1,7
31,1,2016,1,1
6,2,2016,1,7
7,2,2016,1,1
13,2,2016,1,7
14,2,2016,1,1
20,2,2016,1,7
21,2,2016,1,1
27,2,2016,1,7
28,2,2016,1,1
5,3,2016,1,7
6,3,2016,1,1
12,3,2016,1,7
13,3,2016,1,1
19,3,2016,1,7
20,3,2016,1,1
2,4,2016,2,7
3,4,2016,2,1
9,4,2016,2,7
10,4,2016,2,1
16,4,2016,2,7
17,4,2016,2,1
23,4,2016,2,7
24,4,2016,2,1
30,4,2016,2,7
1,5,2016,2,1
7,5,2016,2,7
8,5,2016,2,1
14,5,2016,2,7
15,5,2016,2,1
19,8,2016,3,5
20,8,2016,3,6
21,8,2016,3,1
27,8,2016,3,7
28,8,2016,3,1
10,9,2016,3,7
11,9,2016,3,1
17,9,2016,3,7
18,9,2016,3,1
24,9,2016,3,7
25,9,2016,3,1
1,10,2016,4,7
2,10,2016,4,1
15,10,2016,4,7
16,10,2016,4,1
22,10,2016,4,7
23,10,2016,4,1
29,10,2016,4,7
30,10,2016,4,1
5,11,2016,4,7
6,11,2016,4,1
19,11,2016,4,7
20,11,2016,4,1
26,11,2016,4,7
27,11,2016,4,1
3,12,2016,4,7
4,12,2016,4,1
10,12,2016,4,7
11,12,2016,4,1
17,12,2016,4,7
18,12,2016,4,1
7,1,2017,1,7
8,1,2017,1,1
14,1,2017,1,7
15,1,2017,1,1
21,1,2017,1,7
22,1,2017,1,1
28,1,2017,1,7
29,1,2017,1,1
4,2,2017,1,7
5,2,2017,1,1
11,2,2017,1,7
12,2,2017,1,1
18,2,2017,1,7
19,2,2017,1,1
25,2,2017,1,7
26,2,2017,1,1
4,3,2017,1,7
5,3,2017,1,1
11,3,2017,1,7
12,3,2017,1,1
18,3,2017,1,7
19,3,2017,1,1
1,4,2017,2,7
2,4,2017,2,1
8,4,2017,2,7
9,4,2017,2,1
15,4,2017,2,7
16,4,2017,2,1
22,4,2017,2,7
23,4,2017,2,1
29,4,2017,2,7
30,4,2017,2,1
6,5,2017,2,7
7,5,2017,2,1
14,5,2017,2,1
21,5,2017,2,1
18,8,2017,3,5
19,8,2017,3,6
20,8,2017,3,1
26,8,2017,3,7
27,8,2017,3,1
9,9,2017,3,7
10,9,2017,3,1
16,9,2017,3,7
17,9,2017,3,1
23,9,2017,3,7
24,9,2017,3,1
30,9,2017,3,7
1,10,2017,4,1
14,10,2017,4,7
15,10,2017,4,1
21,10,2017,4,7
22,10,2017,4,1
28,10,2017,4,7
29,10,2017,4,1
4,11,2017,4,7
5,11,2017,4,1
18,11,2017,4,7
19,11,2017,4,1
25,11,2017,4,7
26,11,2017,4,1
2,12,2017,4,7
3,12,2017,4,1
9,12,2017,4,7
10,12,2017,4,1
16,12,2017,4,7
17,12,2017,4,1
21,12,2012,4,5
5,1,2013,1,6
18,1,2013,1,5
21,1,2013,1,1
28,1,2013,1,1
1,2,2013,1,5
18,5,2013,2,6
28,5,2013,2,2
1,6,2013,2,6
19,8,2013,3,1
23,8,2013,3,5
26,8,2013,3,1
30,8,2013,3,5
16,9,2013,3,1
20,9,2013,3,5
23,9,2013,3,1
24,9,2013,3,2
25,9,2013,3,3
26,9,2013,3,4
27,9,2013,3,5
30,9,2013,3,1
4,10,2013,4,5
21,10,2013,4,1
25,10,2013,4,5
28,10,2013,4,1
29,10,2013,4,2
30,10,2013,4,3
31,10,2013,4,4
1,11,2013,4,5
4,11,2013,4,1
8,11,2013,4,5
22,11,2013,4,5
25,11,2013,4,1
29,11,2013,4,5
13,12,2013,4,5
16,12,2013,4,1
20,12,2013,4,5
4,1,2014,1,6
5,1,2014,1,7
6,1,2014,1,1
10,1,2014,1,5
13,1,2014,1,1
17,1,2014,1,5
20,1,2014,1,1
24,1,2014,1,5
27,1,2014,1,1
31,1,2014,1,5
3,2,2014,1,1
7,2,2014,1,5
10,2,2014,1,1
14,2,2014,1,5
17,2,2014,1,1
21,2,2014,1,5
24,2,2014,1,1
28,2,2014,1,5
10,3,2014,1,1
14,3,2014,1,5
17,3,2014,1,1
21,3,2014,1,5
24,3,2014,1,1
25,3,2014,1,2
26,3,2014,1,3
27,3,2014,1,4
31,3,2014,1,1
4,4,2014,2,5
7,4,2014,2,1
11,4,2014,2,5
14,4,2014,2,1
21,4,2014,2,1
7,5,2014,2,3
25,8,2014,3,1
29,8,2014,3,5
12,9,2014,3,5
15,9,2014,3,1
19,9,2014,3,5
22,9,2014,3,1
23,9,2014,3,2
24,9,2014,3,3
25,9,2014,3,4
26,9,2014,3,5
29,9,2014,3,1
4,1,2015,1,7
8,4,2015,2,3
29,4,2015,2,3
24,5,2015,2,7
24,8,2015,3,1
28,8,2015,3,5
11,9,2015,3,5
14,9,2015,3,1
18,9,2015,3,5
22,9,2015,3,2
23,9,2015,3,3
24,9,2015,3,4
25,9,2015,3,5
30,12,2015,4,3
3,1,2016,1,7
2,3,2016,1,3
20,4,2016,2,3
22,8,2016,3,1
26,8,2016,3,5
9,9,2016,3,5
16,9,2016,3,5
19,9,2016,3,1
20,9,2016,3,2
21,9,2016,3,3
22,9,2016,3,4
23,9,2016,3,5
26,9,2016,3,1
30,9,2016,3,5
14,10,2016,4,5
17,10,2016,4,1
22,2,2017,1,3
1,3,2017,1,3
8,3,2017,1,3
5,4,2017,2,3
26,4,2017,2,3
17,5,2017,2,3
21,8,2017,3,1
20,9,2017,3,3
20,12,2017,4,3
7,1,2018,1,7
14,1,2018,1,7
21,1,2018,1,7
28,1,2018,1,7
4,2,2018,1,7
11,2,2018,1,7
18,2,2018,1,7
25,2,2018,1,7
28,2,2018,1,3
4,3,2018,1,7
11,3,2018,1,7
18,3,2018,1,7
1,4,2018,2,7
8,4,2018,2,7
15,4,2018,2,7
18,4,2018,2,3
22,4,2018,2,7
29,4,2018,2,7
6,5,2018,2,7
13,5,2018,2,7
20,5,2018,2,7
